0.61,0.24,-2.0758
0.58,0.51,-2.8395
0.87,0.66,0.048466
0.81,0.13,0.59892
0.13,0.43,0.50984
0.55,0.57,-3.0217
0.37,0.14,-1.6156
0.77,0.21,-0.17575
0.93,0.61,0.66749
0.41,0.66,-3.0087
0.22,0,0.40751
0.12,0.74,0.12712
0.88,0.97,-0.55033
0.19,0.98,-1.1584
0.69,0.81,-2.3639
0.41,0.79,-3.33
0.54,0.14,-2.1568
0.65,0.57,-2.3059
0.38,0.11,-1.7632
0.69,0.69,-2.1529
0.59,0.81,-3.2035
0.59,0.66,-3.0383
0.44,0.65,-3.1156
0.47,0.13,-2.2122
0.02,0.45,1.0918
0.97,0.52,0.97254
0.52,0.91,-3.7693
0.13,0.55,0.26267
0.08,0.99,-0.21838
0.29,0.28,-0.99698
0.99,0.26,1.4396
0.49,0.51,-2.9653
0.06,0.23,1.4395
0.37,0.17,-1.7505
0.15,0.52,0.14043
0.8,0.75,-0.93209
0.72,0.43,-1.2469
0.03,0.47,0.99903
0.3,0.64,-1.8431
0.08,0.49,0.75368
0.57,0.53,-2.9739
0.84,0.47,0.14358
0.53,0.34,-2.6491
0.38,0.65,-2.6698
0.95,0.28,1.4105
0.45,0.41,-2.7586
0.01,0.1,1.7954
0.37,0.51,-2.4032
0.53,0.78,-3.6196
0.03,0.6,0.82188
0.82,0.2,0.42209
0.21,0.44,-0.51891
0.25,0.22,-0.46112
0.26,0.79,-1.6572
0.54,0.3,-2.5606
0.56,0.46,-2.8014
0.24,0.55,-0.974
0.34,0.63,-2.2647
0.12,0.92,-0.3136
0.62,0.32,-2.1298
0.22,0.93,-1.6278
0.18,0.37,0.089452
0.26,0.66,-1.4064
0.63,0.21,-1.9299
0.03,0.23,1.5423
0.82,0.64,-0.3667
0.7,0.12,-0.89123
0.77,0.23,-0.13928
0.87,0.84,-0.3336
0.05,0.89,0.1685
0.55,0.27,-2.4708
0.83,0.02,0.99192
0.08,0.45,0.87985
0.24,0.38,-0.59247
0.46,0.68,-3.279
0.01,0.33,1.2482
0.73,0.61,-1.3355
0.24,0.22,-0.29208
0.1,0.66,0.40682
0.52,0.45,-2.9991
0.29,0.17,-0.87427
0.25,0.7,-1.4186
0.74,0.24,-0.62263
0.21,0.19,0.12278
0.62,0.57,-2.6294
0.03,0.8,0.31533
0.28,0.59,-1.4919
0.85,0.4,0.39011
0.66,0.72,-2.5622
0.72,0.98,-2.2375
0.33,0.16,-1.2449
0.55,0.59,-3.1458
0.28,0.74,-1.7883
0.63,0.47,-2.399
0.31,0.22,-1.1808
0.73,0.6,-1.5419
0.36,0.75,-2.7304
0.87,0.39,0.51365
0.7,0.69,-1.9607
0.29,0.92,-2.3814
0.87,0.59,0.21429
0.11,0.81,-0.035272
0.89,0.61,0.40769
0.74,0.02,-0.20228
0.86,0.01,1.2251
0.79,0.41,-0.23811
0.45,0.5,-2.9267
0,0.11,1.772
0.45,0.98,-3.8707
0.97,0.36,1.2625
0.26,0.98,-2.0002
0.59,0.16,-1.9818
0.57,0.7,-3.2607
0.82,0.13,0.5361
0.55,0.26,-2.5159
0,0.19,1.6568
0.67,0.42,-1.8233
0.17,0.39,0.22179
0.86,0.45,0.34682
0.68,0.84,-2.5762
0.81,0.39,0.047526
0.96,0.13,1.6231
0.03,0.06,1.8698
0.78,0.81,-1.2775
0.8,0.16,0.25825
0.23,0.63,-1.0422
0.24,0.32,-0.51813
0.57,0.47,-2.6485
0.54,0.82,-3.5828
0.45,0.94,-3.8822
0.54,0.34,-2.6721
0.55,1,-3.9483
0.34,0.17,-1.408
0.47,0.27,-2.5974
0.15,0.95,-0.82294
0.33,0.64,-2.211
0.56,0.28,-2.3737
0.49,0.67,-3.3605
0.06,0.21,1.4988
0.82,0.17,0.55995
0.25,0.24,-0.55924
0.9,0.86,-0.053787
0.95,0.7,0.4247
0.57,0.54,-2.8751
0.63,0.03,-1.3904
0.23,0.17,-0.044408
0.3,0.31,-1.1475
0.85,0.49,0.12405
0.76,0.18,-0.31402
0.44,0.96,-3.7939
0.79,0.53,-0.54432
0.37,0.24,-1.8633
0.33,0.02,-1.0428
0.67,0.3,-1.6298
0.09,0.41,0.86544
0.59,0.21,-2.075
0.39,0.09,-1.6615
0.31,0.82,-2.4192
0.56,0.61,-3.1881
0.13,1,-0.72596
0.62,0.98,-3.4572
0.64,0.11,-1.4656
0.36,0.96,-3.1154
0.36,0.41,-2.0917
0.66,0.05,-1.2279
0.88,0.78,-0.09031
0.96,0.19,1.4778
0.41,0.14,-1.8816
0.61,0.16,-1.8189
0.47,0.32,-2.5899
0.91,0.27,1.1327
0.63,0.35,-2.0591
0.15,0.04,1.1517
0.25,0.53,-0.98994
0.18,0.42,0.052749
0.76,0.44,-0.77896
0.48,0.33,-2.604
0.56,0.82,-3.5126
0.24,0.08,0.0065619
0.18,0.98,-1.0279
0.31,0.32,-1.4125
0.77,0.12,0.073859
0.48,0.81,-3.5637
0.73,0.57,-1.5217
0.77,0.38,-0.36767
0.94,0.04,1.8358
0.34,0.35,-1.636
0.94,0.03,1.8325
0.35,0.34,-1.9311
0.11,0.9,-0.19093
0.71,0.99,-2.5407
0.25,0.17,-0.34648
0.51,0.88,-3.8427
0.32,0.4,-1.6621
0.01,0.12,1.6944
0.55,0.83,-3.5972
0.89,0.55,0.52671
0.48,0.21,-2.3191
0.69,0.14,-0.96643
0.26,0.81,-1.8068
0.78,0.19,0.071613
0.59,0.93,-3.6283
0,0.76,0.53923
0.15,0.17,0.75285
0.6,0.5,-2.602
0.86,0.11,1.0968
0.83,0.85,-0.78609
0.58,0.05,-1.9163
0.58,0.54,-2.8123
0.76,0.27,-0.3482
0.18,0.02,0.92728
0.88,0.37,0.69647
0.13,0.89,-0.49929
0.71,0.63,-1.681
0.38,0.58,-2.4505
0.76,0.08,2.0793e-05
0.85,0.56,0.014646
0.66,0.3,-1.5874
0.65,0.67,-2.4882
0.86,0.41,0.49245
0.44,0.14,-2.1587
0.96,0.98,0.034011
0.93,0.35,1.0914
0.13,0.34,0.70698
0.42,0.41,-2.5947
0.67,0.39,-1.7341
0.84,0.21,0.66991
0.45,0.07,-2.0929
0.22,0.33,-0.35532
0.49,0.79,-3.6847
0.48,0.03,-2.0333
0.37,0.76,-2.8825
0.54,0.61,-3.0789
0.38,0.05,-1.5966
0.62,0.16,-1.8541
0.67,0.34,-1.6998
0.87,0.58,0.18385
0.09,0.46,0.74323
0.89,1,-0.43096
0.37,0.64,-2.6463
0.59,0.5,-2.7614
0.91,0.04,1.5532
0.57,0.24,-2.2906
0.62,0.45,-2.3098
0.42,0.34,-2.3744
0.29,0.68,-1.8143
0.91,1,-0.35408
0.8,0.41,-0.19949
0.31,0.02,-0.80892
0.63,0.55,-2.471
0.49,0.8,-3.512
0.9,0.17,1.3237
0.25,0.14,-0.30877
0.49,0.96,-3.8915
0.66,0,-1.1398
0.54,0.86,-3.5363
0.72,0.94,-2.2577
0.9,0.34,0.8549
0.03,0.92,0.13495
