0.508,1.4974
0.033,1.1131
0.78,2.0729
0.77,2.068
0.489,1.615
0.669,1.982
0.179,1.2407
0.562,1.6875
0.469,1.5385
0.733,2.0688
0.044,1.0781
0.449,1.5291
0.471,1.5644
0.292,1.3625
0.425,1.5955
0.427,1.5874
0.203,1.1867
0.615,1.7751
0.863,2.2261
0.31,1.3685
0.062,0.98986
0.256,1.2692
0.735,1.9529
0.004,0.89089
0.942,2.3943
0.157,1.1353
0.861,2.2057
0.461,1.5741
0.523,1.6162
0.34,1.4858
0.573,1.7671
0.999,2.5199
0.604,1.7749
0.065,1.0448
0.184,1.2672
0.245,1.3078
0.025,1.0387
0.47,1.6884
0.852,2.3182
0.363,1.3333
0.447,1.513
0.187,1.1769
0.417,1.554
0.319,1.3733
0.216,1.2895
0.48,1.6057
0.927,2.3103
0.394,1.4787
0.241,1.2123
0.32,1.311
0.094,1.1801
0.435,1.4981
0.231,1.3294
0.101,1.0359
0.967,2.3699
0.549,1.7068
0.984,2.4135
0.117,1.0979
0.564,1.7034
0.66,1.8315
0.432,1.5755
0.381,1.5028
0.329,1.3579
0.368,1.402
0.593,1.6649
0.692,1.9381
0.51,1.7271
0.828,2.1796
0.091,1.0337
0.616,1.7573
0.131,1.1275
0.995,2.3997
0.258,1.3386
0.543,1.6416
0.02,0.97236
0.495,1.6767
0.282,1.2942
0.667,1.9494
0.859,2.3294
0.081,1.1112
0.882,2.2915
0.051,0.94243
0.443,1.555
0.099,1.1114
0.236,1.3187
0.383,1.4366
0.868,2.2111
0.96,2.3364
0.323,1.4686
0.255,1.2007
0.805,2.0737
0.475,1.6149
0.173,1.2548
0.884,2.3544
0.727,2.0062
0.627,1.7662
0.226,1.3771
0.746,2.0374
0.837,2.1889
0.759,2.0945
0.501,1.6427
0.23,1.315
0.456,1.5119
0.473,1.6402
0.201,1.1913
0.344,1.4948
0.24,1.3111
0.135,1.1081
0.052,1.1237
0.516,1.6224
0.772,2.1025
0.57,1.8085
0.185,1.2378
0.048,1.019
0.729,1.9871
0.547,1.7477
0.992,2.5083
0.708,2.008
0.307,1.3128
0.372,1.4201
0.234,1.2847
0.186,1.1387
0.915,2.2788
0.947,2.4515
0.499,1.6295
0.249,1.2282
0.821,2.0965
0.464,1.5121
0.574,1.6259
0.924,2.327
0.219,1.2967
0.775,2.0277
0.313,1.4259
0.762,2.1029
0.279,1.3909
0.246,1.2889
0.584,1.7231
0.926,2.5213
0.352,1.3345
0.014,1.0696
0.765,2.1364
0.438,1.5193
0.22,1.2859
0.017,1.1548
0.975,2.369
0.442,1.5632
0.807,2.0519
0.698,1.9705
0.886,2.2114
0.649,1.8039
0.253,1.1826
0.825,2.0832
0.225,1.2407
1,2.5172
0.466,1.5897
0.704,2.0867
0.833,2.1362
0.507,1.7518
0.066,1.014
0.877,2.1983
0.036,1.0206
0.42,1.5104
0.155,1.1181
0.991,2.5307
0.152,1.1207
0.445,1.5156
0.739,2.0211
0.594,1.7351
0.953,2.4361
0.629,1.7896
0.946,2.466
0.744,1.9637
0.277,1.3364
0.174,1.154
0.472,1.6273
0.196,1.1397
0.836,2.1262
0.7,1.8882
0.085,1.008
0.605,1.7131
0.127,1.0811
0.191,1.179
0.777,2.1428
0.398,1.5048
0.315,1.2891
0.536,1.7144
0.107,1.1143
0.257,1.2655
0.613,1.8626
0.808,2.2404
0.448,1.5442
0.276,1.2432
0.638,1.8351
0.391,1.4468
0.238,1.2683
0.13,1.0429
0.639,1.8748
0.973,2.4036
0.063,1.099
0.413,1.5695
0.544,1.5819
0.493,1.5388
0.783,2.1423
0.699,1.9419
0.168,1.1325
0.892,2.2542
0.083,1.0962
0.268,1.3278
0.446,1.4971
0.19,1.1784
0.388,1.4565
0.601,1.7167
0.901,2.3116
0.483,1.5581
0.661,1.7747
0.287,1.3157
0.474,1.4904
0.768,2.0956
0.123,1.0546
0.043,1.1722
0.998,2.4676
0.181,1.154
0.206,1.3023
0.552,1.6868
0.244,1.2591
0.321,1.3513
0.567,1.8028
0.45,1.5456
0.504,1.5641
0.106,1.0053
0.457,1.512
0.072,1.1097
0.376,1.4265
0.198,1.1384
0.881,2.3129
0.871,2.2761
0.981,2.486
0.156,1.2427
0.857,2.1494
0.652,1.9044
0.813,2.0392
0.422,1.5633
0.535,1.6438
0.126,1.1331
0.075,1.1442
0.957,2.411
0.603,1.8315
0.392,1.4152
0.779,2.1108
0.178,1.2485
0.618,1.7409
0.147,1.1348
0.328,1.4323
0.487,1.6871
0.979,2.4957
0.407,1.4391
0.972,2.5593
0.046,1.1265
0.39,1.4133
0.529,1.507
0.951,2.4451
0.291,1.3659
0.803,2.1607
0.207,1.1884
0.928,2.4219
0.917,2.2361
0.15,1.043
0.007,1.0791
0.521,1.5826
0.634,1.8321
0.166,1.2252
0.894,2.217
0.872,2.23
0.726,1.969
0.286,1.3302
0.527,1.666
0.842,2.2526
0.789,2.1731
0.93,2.3187
0.511,1.6314
0.717,1.9651
0.653,1.8915
0.041,0.96051
0.831,2.1248
0.541,1.7688
0.105,1.0958
0.736,2.0507
0.797,2.2038
0.766,2.1598
0.87,2.236
0.943,2.3992
0.794,2.1641
0.909,2.3646
0.176,1.1116
0.086,1.0758
0.218,1.2294
0.809,2.2143
0.484,1.6431
0.58,1.8229
0.752,2.0001
0.722,1.9124
0.56,1.7935
0.576,1.776
0.974,2.493
0.879,2.2562
0.701,1.9045
0.162,1.2218
0.802,2.067
0.689,1.9622
0.723,1.9846
0.458,1.5322
0.827,2.1605
0.139,1.0999
0.665,1.8807
0.815,2.071
0.006,1.0745
0.294,1.3217
0.078,0.97934
0.658,1.9332
0.092,1.0862
0.822,2.1635
0.467,1.5903
0.883,2.3696
0.478,1.6097
0.563,1.7242
0.545,1.7014
0.712,1.951
0.382,1.5242
0.28,1.4074
0.264,1.2838
0.042,1.0498
0.606,1.7387
0.671,1.942
0.254,1.2831
0.283,1.4279
0.031,1.0747
0.028,1.0458
0.109,1.1529
0.578,1.7606
0.115,1.0902
0.146,1.1643
0.454,1.5892
0.355,1.4011
0.38,1.3415
0.679,1.9294
0.068,0.86987
0.716,2.0209
0.697,1.9141
0.459,1.5283
0.636,1.8135
0.64,1.7698
0.408,1.5387
0.334,1.3059
0.015,1.1339
0.338,1.4728
0.668,1.8683
0.81,2.1291
0.683,1.8873
0.111,1.1707
0.267,1.2989
0.646,1.8692
0.795,2.1603
0.798,2.1141
0.149,1.1562
0.215,1.2811
0.393,1.4803
0.032,1.0793
0.242,1.2551
0.853,2.2203
0.786,2.1021
0.767,2.0567
0.103,1.1526
0.614,1.8653
0.11,1.0574
0.847,2.1942
0.404,1.4133
0.61,1.8004
0.405,1.5484
0.132,1.068
0.91,2.3104
0.084,1.0652
0.688,1.9292
0.754,1.9438
0.151,1.0881
0.621,1.7428
0.509,1.5943
0.311,1.3308
0.012,0.95891
0.227,1.2134
0.204,1.1207
0.415,1.335
0.002,0.94957
0.41,1.4832
0.678,1.9207
0.885,2.2283
0.834,2.1073
0.022,0.92957
0.001,1.0947
0.73,2.0125
0.462,1.5942
0.971,2.4949
0.125,1.1099
0.189,1.2117
0.82,2.1665
0.666,1.8786
0.441,1.5203
0.494,1.4969
0.365,1.3625
0.317,1.3285
0.414,1.4973
0.672,1.8453
0.663,1.9219
0.782,2.1515
0.609,1.7506
0.082,1.094
0.714,1.9294
0.502,1.584
0.569,1.5883
0.693,1.8741
0.931,2.3916
0.575,1.7087
0.986,2.4946
0.955,2.3642
0.485,1.6182
0.761,2.0225
0.919,2.3838
0.732,1.9944
0.724,1.9816
0.702,1.9731
0.911,2.417
0.936,2.4578
0.428,1.4086
0.865,2.265
0.228,1.2992
0.361,1.4623
0.555,1.691
0.347,1.3916
0.089,0.96427
0.623,1.9234
0.505,1.6637
0.912,2.2717
0.182,1.2302
0.087,1.1147
0.878,2.2179
0.587,1.7773
0.751,1.919
0.67,1.875
0.518,1.656
0.637,1.8132
0.921,2.3352
0.451,1.6034
0.04,1.1648
0.889,2.3191
0.263,1.2331
0.163,1.141
0.845,2.2104
0.686,1.926
0.4,1.4836
0.713,1.946
0.345,1.4552
0.46,1.5656
0.088,1.084
0.436,1.5972
0.866,2.3092
0.954,2.3964
